POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         M. Radom ,218466,1954,4.5,1.8,9.1,10.4,-1.3,-4.8,-5.6,6.0
         M. Siedlce ,76347,2396,5.0,1.8,11.1,7.9,3.3,-1.7,-0.6,2.4
         M.st. Warszawa,1724404,3334,4.2,2.2,10.7,10.9,-0.2,4.8,5.2,2.8
         brzeski ,91981,105,4.4,1.9,8.4,9.8,-1.4,-4.0,-3.9,2.6
         głubczycki ,47453,71,4.8,1.7,8.1,12.4,-4.3,-4.9,-9.2,5.2
         kędzierzyńsko-kozielski ,97181,155,4.9,1.7,7.6,10.2,-2.6,-4.1,-7.1,1.4
         kluczborski ,67256,79,4.9,1.7,7.9,10.0,-2.1,-3.6,-4.5,9.4
         krapkowicki ,65113,147,4.7,1.4,8.5,9.5,-0.9,-3.7,-4.2,10.8
         namysłowski ,42881,57,4.9,2.0,8.7,10.5,-1.7,-2.7,-3.0,8.0
         nyski ,140628,115,4.7,1.7,7.5,10.7,-3.3,-3.8,-6.8,2.9
         oleski ,65653,67,4.9,0.9,8.7,10.2,-1.5,-3.9,-3.2,1.7
         opolski ,133217,84,4.5,1.3,8.2,8.6,-0.4,-0.1,-0.6,3.7
         prudnicki ,56828,99,4.5,1.4,8.1,12.8,-4.7,-3.7,-7.5,2.2
         strzelecki ,76079,102,4.9,1.5,9.4,10.2,-0.9,-5.5,-6.1,4.2
         M. Opole ,120146,1244,4.7,2.0,8.1,9.9,-1.8,-2.4,-11.8,4.1
         bieszczadzki ,22204,19,5.4,1.9,9.4,8.6,0.9,-5.3,-2.8,9.6
         brzozowski ,66334,123,5.2,0.9,10.6,9.5,1.1,-3.8,-3.2,4.2
         dębicki ,135165,174,5.5,0.8,9.8,8.1,1.7,-2.4,-0.5,6.0
